id,"Accessory","Class","Headgear Accessory","Suit Accessory","Scrawls","Phase","Location","Suit Color","Suit Pattern","Suit","Headgear","Totem","Backpack","Suit Accessories","Graphic"
2411,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cowl","Smocker","Hangtooth","None","Caddypack","Heavy Duty Regulator","House of Ourbous"
2412,"Thruster","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Good King Maude","None","Caddypack","Simple Regulator","Engineers Guild"
2413,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Headforge","Light Grey Milo Charm","The Sink","Simple Regulator","Free Fringe"
2414,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Green","Foss","Vayon Worksuit","Backstab Squeezebox","None","None","None","Grid Gang"
2415,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Headforge","Light Grey Suit Integrity Amulet","The Sink","Heavy Duty Regulator","The Man Earlie Expeditionary Society"
2416,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Green","Sacred Passage","Smocker","Headforge","White Drippy Charm","Caddypack","Heavy Duty Regulator","Margul"
2417,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Rustler's Braincage","Dark Grey Drippy Charm","Fancypack","Encased Regulator","The Path"
2418,"Hole Puncher","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Good King Maude","Medium Grey Air Supply Amulet","Bobpack","Heavy Duty Regulator","League of Channel"
2419,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Smocker","The Spyhopper","None","None","None","Dark Ether House"
2420,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Gray","Chords","Smocker","Boxhead","White Air Supply Amulet","Little Huffy","Encased Regulator","House of Ourbous"
2421,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Black","Solid","Smocker","The Stalker","Dark Grey Milo Charm","Little Huffy","Encased Regulator","Cathedral"
2422,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Yellow","Foss","Vayon Worksuit","Hardhat","Light Grey Milo Charm","None","None","Saddler Racing League"
2423,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","White","Solid","Prongshell","Hangtooth","None","None","None","No Damage"
2424,"Trunker","Drifter","None","None","None","Phase 2","The Void","Gray","Chords","Smocker","Boxhead","White Air Supply Amulet","Fancypack","Encased Regulator","Lighthouse Sept"
2425,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Yellow","Arvis Edition","Deverin Jacket","Hardhat","None","The Sink","Multiband Regulator","Saddler Racing League"
2426,"Chainflicker","Drifter","None","None","None","Phase 2","The Void","Red-Yellow","Cap Flag","Smocker","The Stalker","None","Fancypack","Heavy Duty Regulator","Union of Merchants"
2427,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Kreegal Cloak","Hardhat","None","None","None","Grid Gang"
2428,"Everdull Snippies","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Rustler's Braincage","Yellow Drippy Charm","Bobpack","Simple Regulator","Dugall Freight"
2429,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Gray","Scripture","Kreegal Cloak","Trailmaker","None","Bobpack","Multiband Regulator","Gael"
2430,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Deverin Jacket","Good King Maude","Light Grey Suit Integrity Amulet","Bobpack","Heavy Duty Regulator","Engineers Guild"
2431,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Green","Solid","Deverin Jacket","Hangtooth","White Air Supply Amulet","Little Huffy","Heavy Duty Regulator","Engineers Guild"
2432,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Good King Maude","None","Fancypack","Heavy Duty Regulator","Topography Society"
2433,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Black","Strapt","Duggie","The Spyhopper","Light Grey Milo Charm","The Sink","Fine Tool Harness","Deepsatch"
2434,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Deverin Jacket","Hangtooth","None","Fancypack","Simple Regulator","The Path"
2435,"Hole Puncher","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","The Spyhopper","Red Sanity Amulet","The Sink","None","Saddler Racing League"
2436,"Faulk's Icepick","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","The Scaper","None","Caddypack","Encased Regulator","Cove Stalkers"
2437,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Kipper","Light Grey Suit Integrity Amulet","Little Huffy","Encased Regulator","Engineers Guild"
2438,"Death Beam","Drifter","Eye Patch","None","None","Phase 2","The Void","Red","Solid","Deverin Jacket","The Pillowcase","Light Grey Suit Integrity Amulet","Fancypack","Simple Regulator","Roving Terror"
2439,"The Nozzle","Drifter","Leergear","None","None","Phase 2","The Void","Yellow","Sacred Passage","Smocker","The Pillowcase","Light Grey Suit Integrity Amulet","Fancypack","Heavy Duty Regulator","Mark Stay"
2440,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","Green","Cap Flag","Smocker","Hangtooth","Medium Grey Sanity Amulet","Little Huffy","Multiband Regulator","The Bench"
2441,"Trunker","Drifter","None","None","None","Phase 2","The Void","Yellow","Foss","Vayon Worksuit","The Stalker","None","None","Utility Vest","Beshtala-Chanko"
2442,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","Red-Yellow","Cap Flag","Smocker","Headforge","None","Little Huffy","Heavy Duty Regulator","Margul"
2443,"Trunker","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Smocker","Hangtooth","None","The Sink","Simple Regulator","Engineers Guild"
2444,"Roulette","Drifter","None","None","None","Phase 2","The Void","Yellow","Arvis Edition","Deverin Jacket","The Spyhopper","White Drippy Charm","The Sink","Multiband Regulator","The Borsch Conservatory of Gastrotechs"
2445,"The (Fat) Koltso","Drifter","Leergear","None","None","Phase 2","The Void","Green","Solid","Prongshell","Kipper","Medium Grey Drippy Charm","None","None","Topography Society"
2446,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Red","Cowl","Smocker","The Scaper","Dark Grey Air Supply Amulet","Caddypack","Simple Regulator","Combustible"
2447,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Black","Solid","Vayon Worksuit","Hardhat","None","Caddypack","Heavy Duty Regulator","Dark Ether House"
2448,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Boxhead","None","The Sink","Heavy Duty Regulator","The Bench"
2449,"Death Beam","Drifter","None","None","Yes","Phase 2","The Void","Red","Cap Flag","Smocker","The Scaper","None","Little Huffy","None","Cross of the Round Power"
2450,"Thruster","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Deverin Jacket","Rustler's Braincage","Light Grey Suit Integrity Amulet","Fancypack","Multiband Regulator","The Pyramid Order"
2451,"The Shriek","Drifter","Leergear","None","Yes","Phase 2","The Void","Red","Cowl","Smocker","Kipper","None","Caddypack","Simple Regulator","Venonauts"
2452,"Everdull Snippies","Drifter","None","None","Yes","Phase 2","The Void","Red","Solid","Deverin Jacket","Rustler's Braincage","None","Caddypack","Simple Regulator","The Pyramid Order"
2453,"Ball Claw","Drifter","None","None","Yes","Phase 2","The Void","Red","Cap Flag","Smocker","The Scaper","Red Air Supply Amulet","Little Huffy","None","High Tox"
2454,"The Nozzle","Drifter","Driftcore Shades","None","None","Phase 2","The Void","Green","Foss","Vayon Worksuit","BC Shiner","None","None","Fine Tool Harness","Machinist Social Club"
2455,"The Nozzle","Drifter","Hypervisor","None","None","Phase 2","The Void","Green","Solid","Deverin Jacket","Kipper","Light Grey Suit Integrity Amulet","The Sink","Heavy Duty Regulator","Cathedral"
2456,"Kickback Bombshot","Freight Wars Veterans","None","Powerjuice Mixer","None","Phase 2","The Void","Dugall","None","Dugall Freight Prongshell","Dugall Freight BC Shiner","None","Bombshot Fuel Cell","None","Dugall Freight"
2457,"Trunker","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Kreegal Cloak","Hangtooth","None","The Sink","Heavy Duty Regulator","Engineers Guild"
2458,"The Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Kreegal Cloak","Puffy Face","Light Grey Air Supply Amulet","Bobpack","Heavy Duty Regulator","The Borsch Conservatory of Gastrotechs"
2459,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Red","Cowl","Smocker","Rustler's Braincage","None","The Sink","Simple Regulator","Cathedral"
2460,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Sacred Passage","Smocker","The Spyhopper","Dark Grey Milo Charm","Caddypack","Encased Regulator","Margul"
2461,"Hole Puncher","Drifter","Driftcore Shades","None","None","Phase 2","The Void","Yellow","Arvis Edition","Deverin Jacket","The Pillowcase","Medium Grey Air Supply Amulet","The Sink","Multiband Regulator","Freebooters Flag"
2462,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Smocker","Kipper","Medium Grey Drippy Charm","Little Huffy","Simple Regulator","Mesmegraph"
2463,"Hole Puncher","Drifter","None","None","Yes","Phase 2","The Void","Red","Arvis Edition","Deverin Jacket","Trailmaker","Light Grey Decontamination Amulet","Caddypack","Encased Regulator","Lighthouse Sept"
2464,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Sacred Passage","Smocker","The Spyhopper","Yellow Drippy Charm","Caddypack","Heavy Duty Regulator","The Path"
2465,"Trunker","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Deverin Jacket","Hardhat","Dark Grey Drippy Charm","Fancypack","Simple Regulator","Topography Society"
2466,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Prongshell","Good King Maude","None","None","None","The Bench"
2467,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Headforge","Light Grey Milo Charm","The Sink","Heavy Duty Regulator","Free Fringe"
2468,"Kickback Bombshot","Freight Wars Veterans","None","Powerjuice Mixer","None","Phase 2","The Void","Round Power","None","Round Power Kreegal Cloak","Round Power Hardhat","None","Bombshot Fuel Cell","None","Round Power"
2469,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Smocker","Boxhead","None","The Sink","Simple Regulator","Engineers Guild"
2470,"Kickback Bombshot","Freight Wars Veterans","Dugall Eye Patch","Powerjuice Mixer","None","Phase 2","The Void","Dugall","None","Dugall Freight Prongshell","Dugall Freight BC Shiner","None","Bombshot Fuel Cell","None","Dugall Freight"
2471,"Thruster","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Boxhead","Medium Grey Sanity Amulet","Bobpack","Heavy Duty Regulator","Freebooters Flag"
2472,"Chainflicker","Drifter","None","None","None","Phase 2","The Void","Red","Sacred Passage","Smocker","The Pillowcase","Dark Grey Decontamination Amulet","Bobpack","Encased Regulator","Beshtala Expatriation Roster"
2473,"Roulette","Drifter","None","None","Yes","Phase 2","The Void","Gray","Scripture","Kreegal Cloak","Puffy Face","White Suit Integrity Amulet","Caddypack","Heavy Duty Regulator","Machinist Social Club"
2474,"Death Beam","Drifter","Driftcore Shades","None","Yes","Phase 2","The Void","Gray","Scripture","Kreegal Cloak","Kipper","Green Milo Charm","Caddypack","Heavy Duty Regulator","Beshtala Expatriation Roster"
2475,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Green","Foss","Vayon Worksuit","The Spyhopper","None","None","None","The Bench"
2476,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Solid","Deverin Jacket","Boxhead","None","Caddypack","Multiband Regulator","Subsurface Miners Guild"
2477,"The Nozzle","Drifter","Driftcore Shades","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","The Pillowcase","None","The Sink","Simple Regulator","Beshtala-Chanko"
2478,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Sacred Passage","Smocker","Rustler's Braincage","None","The Sink","Simple Regulator","Engineers Guild"
2479,"Ball Claw","Drifter","Leergear","None","Yes","Phase 2","The Void","Green","Sacred Passage","Smocker","The Pillowcase","None","Caddypack","Simple Regulator","Cove Stalkers"
2480,"Round Foot","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Smocker","Headforge","Light Grey Suit Integrity Amulet","Fancypack","Multiband Regulator","Engineers Guild"
2481,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Kreegal Cloak","Hangtooth","Yellow Drippy Charm","Bobpack","Multiband Regulator","Cross of the Round Power"
2482,"Trunker","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Kreegal Cloak","Boxhead","Red Sanity Amulet","The Sink","Encased Regulator","Dugall Freight"
2483,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Red","Cowl","Smocker","Good King Maude","White Air Supply Amulet","Fancypack","Simple Regulator","League of Channel"
2484,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Prongshell","Rustler's Braincage","None","None","None","League of Channel"
2485,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Deverin Jacket","Headforge","None","The Sink","Heavy Duty Regulator","Mesmegraph"
2486,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Boxhead","None","The Sink","Simple Regulator","Freebooters Flag"
2487,"Bolt Harp","Drifter","None","None","Yes","Phase 2","The Void","Red","Cowl","Smocker","Boxhead","Yellow Air Supply Amulet","Little Huffy","Simple Regulator","The Path"
2488,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Kreegal Cloak","Boxhead","None","None","None","The Man Earlie Expeditionary Society"
2489,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Gray","Sacred Passage","Smocker","The Stalker","Dark Grey Drippy Charm","Fancypack","Encased Regulator","Beshtala-Chanko"
2490,"Thruster","Drifter","None","None","None","Phase 2","The Void","Gray","Chords","Smocker","Headforge","Light Grey Suit Integrity Amulet","Fancypack","Simple Regulator","Engineers Guild"
2491,"Prongseat","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Soup Gagers","Dark Grey Air Supply Amulet","The Sink","Multiband Regulator","Lethal"
2492,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","The Spyhopper","Light Grey Milo Charm","None","None","The Pyramid Order"
2493,"Faulk's Icepick","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Prongshell","The Scaper","Light Grey Air Supply Amulet","None","None","Mark Stay"
2494,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","White","Cap Flag","Smocker","Headforge","None","None","None","Margul"
2495,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Kipper","None","Little Huffy","Simple Regulator","Dark Ether House"
2496,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Green","Foss","Vayon Worksuit","Hardhat","None","None","Fine Tool Harness","Venonauts"
2497,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Red","Foss","Vayon Worksuit","Hangtooth","None","None","None","Beshtala Expatriation Roster"
2498,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","Green","Cap Flag","Smocker","Hangtooth","Medium Grey Sanity Amulet","Little Huffy","Multiband Regulator","Orbital Miners Guild"
