id,"Accessory","Backpack","Class","Death","Graphic","Headgear","Headgear Accessory","Location","Phase","Scrawls","Suit","Suit Accessories","Suit Accessory","Suit Color","Suit Pattern","Totem"
2774,"The Nozzle","Little Huffy","Drifter","None","Slash Patcher","The Scaper","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Green","Sacred Passage","Light Grey Suit Integrity Amulet"
2775,"Steady Hammer","Caddypack","Drifter","None","Machinist Social Club","BC Shiner","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Yellow","Sacred Passage","Light Grey Decontamination Amulet"
2776,"The (Fat) Koltso","None","Drifter","None","House of Ourbous","Boxhead","None","The Void","Phase 2","None","Smocker","None","None","Green","Sacred Passage","Medium Grey Drippy Charm"
2777,"Chainflicker","None","Drifter","None","Topography Society","Kipper","None","The Void","Phase 2","None","Smocker","None","None","Green","Cap Flag","None"
2778,"Trunker","Fancypack","Drifter","None","League of Channel","Rustler's Braincage","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Gray","Solid","Medium Grey Sanity Amulet"
2779,"The (Fat) Koltso","Caddypack","Drifter","None","Cross of the Round Power","Hangtooth","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Gray","Chords","Medium Grey Drippy Charm"
2780,"Steady Hammer","None","Drifter","None","The Path","The Stalker","None","The Void","Phase 2","None","Smocker","None","None","Gray","Sacred Passage","None"
2781,"The Shriek","None","Drifter","None","Mesmegraph","Headforge","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Black","Solid","Light Grey Milo Charm"
2782,"The (Fat) Koltso","Little Huffy","Drifter","None","The Path","Rustler's Braincage","None","The Void","Phase 2","Yes","Kreegal Cloak","Heavy Duty Regulator","None","Red","Solid","None"
2783,"Hole Puncher","Caddypack","Drifter","None","Union of Merchants","The Scaper","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Green","Cap Flag","Green Milo Charm"
2784,"Hull Breacher","Fancypack","Drifter","None","Longhaulers","Rustler's Braincage","None","The Void","Phase 2","None","Vayon Worksuit","Multiband Regulator","None","Gray","Solid","None"
2785,"The Koltso","Fancypack","Drifter","None","The Borsch Conservatory of Gastrotechs","The Spyhopper","None","The Void","Phase 2","None","Vayon Worksuit","Simple Regulator","None","Gray","Solid","None"
2786,"Trunker","Caddypack","Drifter","None","Orbital Miners Guild","Kipper","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Red","Cap Flag","Medium Grey Sanity Amulet"
2787,"Roulette","None","Drifter","None","The Borsch Conservatory of Gastrotechs","Puffy Face","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","White Drippy Charm"
2788,"Trunker","Caddypack","Drifter","None","The Path","Rustler's Braincage","None","The Void","Phase 2","Yes","Smocker","Encased Regulator","None","Gray","Chords","None"
2789,"Bolt Harp","None","Drifter","None","No Damage","Hangtooth","None","The Void","Phase 2","None","Smocker","None","None","Black","Solid","None"
2790,"Hull Breacher","None","Drifter","None","Venonauts","BC Shiner","Eye Patch","The Void","Phase 2","None","Vayon Worksuit","None","None","White","Foss","None"
2791,"The Shriek","Fancypack","Drifter","None","Mesmegraph","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Gray","Solid","Light Grey Milo Charm"
2792,"The Nozzle","Little Huffy","Drifter","None","No Damage","Hardhat","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Green","Sacred Passage","None"
2793,"Thruster","Fancypack","Drifter","None","The Bench","The Stalker","None","The Void","Phase 2","None","Kreegal Cloak","Encased Regulator","None","Yellow","Solid","Light Grey Suit Integrity Amulet"
2794,"Faulk's Icepick","None","Drifter","None","Roving Terror","The Pillowcase","Driftcore Shades","The Void","Phase 2","None","Vayon Worksuit","None","None","Red","Foss","None"
2795,"Bolt Harp","Caddypack","Drifter","None","Longhaulers","Rustler's Braincage","None","The Void","Phase 2","Yes","Smocker","Encased Regulator","None","Gray","Chords","None"
2796,"The Shriek","Caddypack","Drifter","None","The Man Earlie Expeditionary Society","Hangtooth","None","The Void","Phase 2","None","Deverin Jacket","Simple Regulator","None","Red","Solid","Light Grey Milo Charm"
2797,"Everdull Snippies","The Sink","Drifter","None","Freebooters Flag","The Spyhopper","None","The Void","Phase 2","None","Kreegal Cloak","Encased Regulator","None","Gray","Solid","None"
2798,"Roulette","Caddypack","Drifter","None","Deepsatch","The Spyhopper","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Cap Flag","White Drippy Charm"
2799,"Prongseat","None","Drifter","None","Mark Stay","Puffy Face","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Gray","Solid","None"
2800,"Steady Hammer","Little Huffy","Drifter","None","Freebooters Flag","Hangtooth","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Black","Solid","None"
2801,"Bolt Harp","The Sink","Drifter","None","Mol Bon Tunnel","Trailmaker","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Cap Flag","None"
2802,"Roulette","None","Drifter","None","Cove Stalkers","Puffy Face","None","The Void","Phase 2","None","Prongshell","None","None","Black","Solid","Dark Grey Decontamination Amulet"
2803,"Trunker","Caddypack","Drifter","None","Beshtala-Chanko","Headforge","None","The Void","Phase 2","Yes","Smocker","Multiband Regulator","None","Green","Cap Flag","Medium Grey Sanity Amulet"
2804,"Cove Carver","The Sink","Drifter","None","Roving Terror","The Pillowcase","Eye Patch","The Void","Phase 2","None","Vayon Worksuit","Multiband Regulator","None","Gray","Solid","None"
2805,"Crystal Catcher","Custom Henchman","Legends of The Void","None","Glass Womb","Starforge","None","The Void","Phase 2","None","Cleanshell","None","Cool Regulator","Ice","None","None"
2806,"Cove Carver","Caddypack","Drifter","None","Orbital Miners Guild","Kipper","Eye Patch","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Yellow","Cowl","None"
2807,"The Nozzle","The Sink","Drifter","None","Survivalist Guild","The Scaper","None","The Void","Phase 2","None","Deverin Jacket","Fine Tool Harness","None","Green","Solid","None"
2808,"Bolt Harp","Caddypack","Drifter","None","Engineers Guild","Rustler's Braincage","None","The Void","Phase 2","Yes","Deverin Jacket","Simple Regulator","None","Gray","Solid","None"
2809,"The Spunker","None","Drifter","None","Dugall Freight","Kipper","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Black","Solid","None"
2810,"Steady Hammer","Caddypack","Drifter","None","No Damage","Hangtooth","None","The Void","Phase 2","Yes","Kreegal Cloak","Multiband Regulator","None","Red","Solid","Light Grey Decontamination Amulet"
2811,"The Nozzle","The Sink","Drifter","None","Gael","Trailmaker","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Cap Flag","Light Grey Suit Integrity Amulet"
2812,"Thruster","Fancypack","Drifter","None","Freebooters Flag","Boxhead","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Gray","Solid","White Air Supply Amulet"
2813,"The (Fat) Koltso","Fancypack","Drifter","None","The Bench","Boxhead","None","The Void","Phase 2","None","Kreegal Cloak","None","None","Gray","Solid","Medium Grey Drippy Charm"
2814,"Hull Breacher","Little Huffy","Drifter","None","Venonauts","Good King Maude","None","The Void","Phase 2","Yes","Smocker","Encased Regulator","None","Red","Sacred Passage","Yellow Air Supply Amulet"
2815,"Steady Hammer","Fancypack","Drifter","None","Cross of the Round Power","The Scaper","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","Red","Sacred Passage","None"
2816,"The Nozzle","Fancypack","Drifter","None","Venonauts","Good King Maude","None","The Void","Phase 2","None","Deverin Jacket","Encased Regulator","None","White","Solid","None"
2817,"Ball Claw","Caddypack","Drifter","None","High Tox","Backstab Squeezebox","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Cap Flag","White Drippy Charm"
2818,"Hull Breacher","The Sink","Drifter","None","High Tox","The Pillowcase","None","The Void","Phase 2","None","Vayon Worksuit","Simple Regulator","None","Gray","Ricochet","Light Grey Milo Charm"
2819,"Trunker","None","Drifter","None","League of Channel","Boxhead","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","Medium Grey Sanity Amulet"
2820,"Wedge","Little Huffy","Drifter","None","No Damage","The Spyhopper","None","The Void","Phase 2","Yes","Smocker","Multiband Regulator","None","Gray","Solid","None"
2821,"Steady Hammer","Caddypack","Drifter","None","The Forsaken","Headforge","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Yellow","Cap Flag","None"
2822,"Hull Breacher","Little Huffy","Drifter","None","The Path","Good King Maude","None","The Void","Phase 2","Yes","Deverin Jacket","Fine Tool Harness","None","Green","Solid","White Air Supply Amulet"
2823,"Trunker","The Sink","Drifter","None","League of Channel","Backstab Squeezebox","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Yellow","Solid","Light Grey Suit Integrity Amulet"
2824,"Hull Hooker","The Sink","Drifter","None","The Path","The Pillowcase","Leergear","The Void","Phase 2","None","Smocker","None","None","White","Cowl","Light Grey Milo Charm"
2825,"Hull Hooker","None","Drifter","None","The Path","The Stalker","None","The Void","Phase 2","None","Kreegal Cloak","None","None","Black","Solid","None"
2826,"Bolt Harp","Fancypack","Drifter","None","Longhaulers","Rustler's Braincage","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","Green","Solid","White Air Supply Amulet"
2827,"Cove Carver","The Sink","Drifter","None","Survivalist Guild","Good King Maude","None","The Void","Phase 2","None","Kreegal Cloak","Encased Regulator","None","Yellow","Solid","Light Grey Milo Charm"
2828,"Prongseat","None","Drifter","None","Cove Stalkers","The Scaper","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","Light Grey Decontamination Amulet"
2829,"Trunker","Fancypack","Drifter","None","Margul","Headforge","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","Red","Sacred Passage","None"
2830,"Hull Breacher","Fancypack","Drifter","None","The Bench","The Stalker","None","The Void","Phase 2","None","Smocker","None","None","Red","Cap Flag","Light Grey Suit Integrity Amulet"
2831,"The Spunker","Fancypack","Drifter","None","The Man Earlie Expeditionary Society","BC Shiner","None","The Void","Phase 2","None","Vayon Worksuit","Fine Tool Harness","None","Gray","Solid","Light Grey Suit Integrity Amulet"
2832,"Hull Breacher","Fancypack","Drifter","None","Venonauts","The Scaper","None","The Void","Phase 2","None","Smocker","None","None","Red","Cap Flag","Light Grey Suit Integrity Amulet"
2833,"Wedge","Caddypack","Drifter","None","Cross of the Round Power","The Scaper","None","The Void","Phase 2","None","Vayon Worksuit","Encased Regulator","None","Black","Solid","Dark Grey Air Supply Amulet"
2834,"The Nozzle","None","Drifter","None","Combustible","Good King Maude","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","None"
2835,"Hole Puncher","Little Huffy","Drifter","None","The Pyramid Order","The Pillowcase","None","The Void","Phase 2","Yes","Deverin Jacket","Fine Tool Harness","None","Green","Solid","None"
2836,"The Nozzle","The Sink","Drifter","None","League of Channel","The Stalker","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","None"
2837,"Trunker","Fancypack","Drifter","None","Mercenary","BC Shiner","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","White","Arvis Edition","Medium Grey Sanity Amulet"
2838,"Wedge","Little Huffy","Drifter","None","The Pyramid Order","The Pillowcase","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Green","Cap Flag","White Air Supply Amulet"
2839,"The (Fat) Koltso","Fancypack","Drifter","None","Dugall Freight","Boxhead","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Gray","Solid","White Air Supply Amulet"
2840,"Trunker","None","Drifter","None","The Bench","Boxhead","None","The Void","Phase 2","None","Prongshell","None","None","Yellow","Solid","Medium Grey Sanity Amulet"
2841,"Hull Breacher","None","Drifter","None","Mark Stay","Hardhat","None","The Void","Phase 2","None","Smocker","None","None","Blue","Sacred Passage","None"
2842,"Trunker","None","Drifter","None","The Path","Headforge","None","The Void","Phase 2","None","Prongshell","None","None","Yellow","Solid","None"
2843,"Trunker","Caddypack","Drifter","None","Engineers Guild","Hangtooth","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Green","Sacred Passage","None"
2844,"Hull Hooker","Little Huffy","Drifter","None","Freebooters Flag","Good King Maude","None","The Void","Phase 2","Yes","Deverin Jacket","Fine Tool Harness","None","Yellow","Solid","Yellow Air Supply Amulet"
2845,"The Koltso","Caddypack","Drifter","None","Beshtala Expatriation Roster","The Spyhopper","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Yellow","Sacred Passage","None"
2846,"Hole Puncher","Caddypack","Drifter","None","League of Channel","The Scaper","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Sacred Passage","Medium Grey Air Supply Amulet"
2847,"The Nozzle","The Sink","Drifter","None","Union of Merchants","Good King Maude","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Green","Cap Flag","None"
2848,"Steady Hammer","The Sink","Drifter","None","Dugall Freight","Hangtooth","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Black","Chords","Light Grey Suit Integrity Amulet"
2849,"Bolt Harp","None","Drifter","None","Mol Bon Tunnel","Trailmaker","None","The Void","Phase 2","None","Prongshell","None","None","Red","Solid","None"
2850,"The Shriek","None","Drifter","None","High Tox","Hardhat","None","The Void","Phase 2","None","Kreegal Cloak","None","None","Black","Solid","None"
2851,"Trunker","None","Drifter","None","Cove Stalkers","Hardhat","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Yellow","Solid","Medium Grey Sanity Amulet"
2852,"Roulette","Caddypack","Drifter","None","Lighthouse Sept","Puffy Face","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Gray","Chords","White Drippy Charm"
2853,"Hull Breacher","Bobpack","Drifter","None","Union of Merchants","Hangtooth","None","The Void","Phase 2","None","Smocker","None","None","White","Cap Flag","Dark Grey Decontamination Amulet"
2854,"The Shriek","The Sink","Drifter","None","The Man Earlie Expeditionary Society","Hangtooth","None","The Void","Phase 2","None","Smocker","None","None","Red","Cowl","Light Grey Milo Charm"
2855,"The Koltso","Caddypack","Drifter","None","The Path","Rustler's Braincage","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","Light Grey Decontamination Amulet"
2856,"The (Fat) Koltso","Little Huffy","Drifter","None","Cathedral","Rustler's Braincage","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","White","Ricochet","White Air Supply Amulet"
